Digit Recognition Application
Reading training data... 
100 samples
Reading test data... 
2000 samples
Reading labels... 
2000 labels
Running... 
Checking results:
Test 0: expected = 0, result = 9
Test 1: expected = 0, result = 9
Test 2: expected = 0, result = 6
Test 3: expected = 0, result = 5
Test 4: expected = 0, result = 7
Test 5: expected = 0, result = 7
Test 6: expected = 0, result = 6
Test 7: expected = 0, result = 6
Test 8: expected = 0, result = 5
Test 9: expected = 0, result = 8
Test 10: expected = 0, result = 9
Test 11: expected = 0, result = 5
Test 12: expected = 0, result = 7
Test 13: expected = 0, result = 7
Test 14: expected = 0, result = 5
Test 15: expected = 0, result = 6
Test 16: expected = 0, result = 8
Test 17: expected = 0, result = 5
Test 18: expected = 0, result = 5
Test 19: expected = 0, result = 8
Test 20: expected = 0, result = 7
Test 21: expected = 0, result = 8
Test 22: expected = 0, result = 8
Test 23: expected = 0, result = 9
Test 24: expected = 0, result = 6
Test 25: expected = 0, result = 6
Test 26: expected = 0, result = 4
Test 27: expected = 0, result = 9
Test 28: expected = 0, result = 9
Test 29: expected = 0, result = 9
Test 30: expected = 0, result = 6
Test 31: expected = 0, result = 7
Test 32: expected = 0, result = 5
Test 33: expected = 0, result = 7
Test 34: expected = 0, result = 8
Test 35: expected = 0, result = 9
Test 36: expected = 0, result = 9
Test 37: expected = 0, result = 2
Test 38: expected = 0, result = 9
Test 39: expected = 0, result = 9
Test 40: expected = 0, result = 8
Test 41: expected = 0, result = 5
Test 42: expected = 0, result = 9
Test 43: expected = 0, result = 8
Test 44: expected = 0, result = 9
Test 45: expected = 0, result = 5
Test 46: expected = 0, result = 7
Test 47: expected = 0, result = 8
Test 48: expected = 0, result = 8
Test 49: expected = 0, result = 7
Test 50: expected = 0, result = 2
Test 51: expected = 0, result = 2
Test 52: expected = 0, result = 8
Test 53: expected = 0, result = 6
Test 54: expected = 0, result = 8
Test 55: expected = 0, result = 6
Test 56: expected = 0, result = 5
Test 57: expected = 0, result = 9
Test 58: expected = 0, result = 5
Test 59: expected = 0, result = 6
Test 60: expected = 0, result = 8
Test 61: expected = 0, result = 8
Test 62: expected = 0, result = 6
Test 63: expected = 0, result = 7
Test 64: expected = 0, result = 7
Test 65: expected = 0, result = 5
Test 66: expected = 0, result = 6
Test 67: expected = 0, result = 9
Test 68: expected = 0, result = 9
Test 69: expected = 0, result = 5
Test 70: expected = 0, result = 9
Test 71: expected = 0, result = 8
Test 72: expected = 0, result = 5
Test 73: expected = 0, result = 8
Test 74: expected = 0, result = 8
Test 75: expected = 0, result = 8
Test 76: expected = 0, result = 6
Test 77: expected = 0, result = 6
Test 78: expected = 0, result = 6
Test 79: expected = 0, result = 6
Test 80: expected = 0, result = 3
Test 81: expected = 0, result = 5
Test 82: expected = 0, result = 4
Test 83: expected = 0, result = 2
Test 84: expected = 0, result = 5
Test 85: expected = 0, result = 7
Test 86: expected = 0, result = 7
Test 87: expected = 0, result = 9
Test 88: expected = 0, result = 9
Test 89: expected = 0, result = 9
Test 90: expected = 0, result = 6
Test 91: expected = 0, result = 8
Test 92: expected = 0, result = 2
Test 93: expected = 0, result = 7
Test 94: expected = 0, result = 5
Test 95: expected = 0, result = 5
Test 96: expected = 0, result = 9
Test 98: expected = 0, result = 7
Test 99: expected = 0, result = 7
Test 100: expected = 0, result = 8
